name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status_binary
egalet,"['Biotechnology', 'Health Care']",27600000.0,DNK,17,1995-01-01,3,2007-04-02,2014-02-11,1
eggcartel,['E-Commerce'],1000000.0,USA,CA,2010-07-01,2,2010-09-01,2011-06-28,0
egistics,"['Enterprises', 'Enterprise Software']",8864292.0,USA,TX,1994-01-01,2,2008-01-28,2010-07-27,1
eglue business technologies,['Software'],27000000.0,GBR,H9,2001-01-01,3,2006-07-02,2008-04-14,1
archify,"['Browser Extensions', 'Search']",21189.0,AUT,9,2011-01-01,2,2011-09-05,2012-05-03,0
ehi car rental,['E-Commerce'],420000000.0,CHN,23,2006-01-01,5,2008-03-01,2015-05-26,1
ehsmanager,['Health Care'],3500000.0,USA,KS,1997-04-18,1,2001-07-30,2001-07-30,0
ei technologies,['Enterprise Software'],52792.0,GBR,E4,2012-08-01,1,2013-05-01,2013-05-01,0
eie materials,"['Nanotechnology', 'Services']",150000.0,SGP,unknown,2009-03-15,3,2013-06-26,2014-01-13,0
eigenta,['Search'],19713.0,NLD,7,2007-12-23,1,2012-04-04,2012-04-04,0
eiger biopharmaceuticals,['Biotechnology'],23040630.0,USA,CA,2008-01-01,4,2009-02-25,2015-11-23,1
e ink,['Hardware + Software'],68800000.0,USA,MA,1997-01-01,3,1998-05-01,2007-10-08,1
einstruction by turning technologies,['Hardware + Software'],49600000.0,USA,OH,1980-01-01,2,2007-10-01,2008-03-31,1
eka systems,['Clean Technology'],52500000.0,USA,MD,2000-01-01,3,2006-01-01,2008-07-01,1
ekinops,['Hardware + Software'],49463731.0,FRA,A2,2003-01-01,6,2003-04-01,2013-04-01,1
ekos corporation,['Health Care'],49000000.0,USA,WA,1995-01-01,3,2005-02-18,2008-03-27,1
ekr therapeutics,['Biotechnology'],13000000.0,USA,NJ,2003-05-04,1,2007-08-15,2007-08-15,1
el teatro,['Games'],40000.0,USA,CA,2010-12-01,1,2011-06-15,2011-06-15,0
elabseurope,"['Internet', 'Life Sciences', 'Medical']",20000000.0,SGP,unknown,1996-07-12,1,2000-10-23,2000-10-23,0
elanti systems,['Software'],5500000.0,USA,NJ,2007-01-01,1,2008-05-29,2008-05-29,0
elastic intelligence,['Enterprise Software'],3400000.0,USA,CA,2010-01-01,1,2010-12-01,2010-12-01,1
elastica,"['Cloud Security', 'SaaS', 'Software', 'Technology']",36300000.0,USA,CA,2009-11-07,2,2014-02-18,2015-03-11,1
elastix corporation,['Hardware + Software'],425130.0,USA,CA,2004-01-13,2,2008-04-25,2009-08-07,1
elastra,['Enterprise Software'],14449995.0,USA,CA,2007-01-01,2,2007-08-15,2008-08-05,0
eldervision,['E-Commerce'],1800000.0,USA,PA,1996-07-09,1,2000-10-20,2000-10-20,0
elecar,"['Clean Technology', 'Mobile', 'Solar']",10000.0,SGP,unknown,2009-03-30,1,2010-05-30,2010-05-30,0
elematics,['Software'],10000000.0,USA,OR,1998-10-30,1,2003-02-10,2003-02-10,0
eleme medical,['Biotechnology'],6500000.0,USA,NH,2007-01-01,1,2010-06-15,2010-06-15,1
element financial corporation,['Finance'],125000000.0,CAN,ON,2007-01-01,1,2014-03-07,2014-03-07,0
element k,"['Education', 'Internet', 'Online Education']",16000000.0,SGP,unknown,1997-08-30,1,2001-12-11,2001-12-11,0
elemental technologies,"['Enterprises', 'Enterprise Software', 'Video']",45650000.0,USA,OR,2006-08-06,5,2007-12-01,2014-12-22,1
elepago,"['Mobile', 'Mobile Payments', 'Payments']",370000.0,MEX,19,2013-02-22,1,2013-04-17,2013-04-17,0
elephant.is,['Education'],100000.0,USA,NY,2012-01-01,1,2012-05-01,2012-05-01,0
elephanttalk communications,['Mobile'],31965510.0,NLD,7,2006-10-31,2,2011-02-11,2012-04-27,0
elevation pharmaceuticals,['Biotechnology'],89400001.0,USA,CA,2007-01-01,4,2010-01-21,2012-01-04,1
eleven biotherapeutics,"['Biotechnology', 'Health Care']",75000000.0,USA,MA,2010-01-01,3,2010-03-09,2014-11-25,1
eliason media,"['Advertising', 'Social Media', 'Twitter Applications']",200000.0,USA,IA,2009-09-01,2,2009-10-22,2009-12-18,0
elite daily,"['Media', 'News', 'Peer-to-Peer', 'Social Media']",1500000.0,USA,NY,2012-02-01,1,2014-06-14,2014-06-14,1
elite jetting,"['In-Flight Entertainment', 'Lifestyle', 'Services']",3280942.0,SGP,unknown,2015-02-20,1,2015-02-22,2015-02-22,0
elite pharmaceuticals,['Biotechnology'],2005038.0,USA,NJ,1996-01-01,3,2009-06-12,2014-04-15,1
elitecore technologies,['Software'],10300000.0,IND,9,2003-03-08,1,2007-06-19,2007-06-19,1
elixir pharmaceuticals,"['Biotechnology', 'Diabetes', 'Pharmaceuticals']",58000000.0,USA,MA,1999-01-01,2,2006-11-29,2009-05-27,0
eliyon technologies,['Technology'],7000000.0,USA,MA,2000-04-03,1,2004-07-15,2004-07-15,0
elliptec ag,['Automotive'],10822832.0,DEU,7,1999-10-31,1,2004-02-11,2004-02-11,0
elmbridge court,['Real Estate'],15515606.656651298,SGP,unknown,2007-07-21,1,2011-11-01,2011-11-01,1
elo sistemas eletrônicos,"['Electrical Distribution', 'Energy', 'Manufacturing', 'Service Providers']",16393442.0,BRA,23,1980-01-01,1,2011-12-13,2011-12-13,0
elobina concept ab,"['Design', 'E-Commerce', 'E-Commerce Platforms', 'Fashion', 'Textiles']",42446.9665578542,SWE,27,2014-04-11,1,2015-09-20,2015-09-20,0
elong.com,"['Transportation', 'Travel']",15000000.0,CHN,22,1999-05-01,1,2003-08-29,2003-08-29,1
elonics,['Semiconductors'],13500000.0,GBR,W9,2003-01-01,2,2008-02-13,2010-09-06,0
eloqua,"['B2B', 'Enterprise Software', 'Marketing Automation', 'Sales and Marketing']",35800000.0,USA,VA,1999-01-01,2,2006-09-01,2007-10-01,1
elpida memory,['Manufacturing'],100000000.0,JPN,40,1999-02-20,1,2003-06-03,2003-06-03,1
eltechs,"['Information Technology', 'Software', 'Virtualization']",2100000.0,RUS,48,2012-02-17,2,2012-05-30,2013-09-02,0
elton digital,"['Advertising', 'Internet Marketing', 'Search Marketing', 'SEO', 'Social Media Marketing']",500000.0,USA,IL,2010-01-14,1,2009-09-01,2009-09-01,0
embark,['Public Transportation'],1000000.0,USA,CA,2011-01-01,2,2012-01-25,2012-11-13,1
embedded chat,['Software'],15515606.656651298,SGP,unknown,2012-05-10,1,2014-01-01,2014-01-01,0
embedded internet solutions,['Software'],36640000.0,CHN,5,2004-09-23,1,2009-01-04,2009-01-04,0
ember,"['Mobile', 'Real Time', 'Video']",121000000.0,USA,MA,2001-01-01,5,2001-08-06,2010-01-18,1
embly,['Curated Web'],41358853.86867132,USA,CA,2011-01-01,1,2012-01-26,2012-01-26,1
embrane,['Software'],32000000.0,USA,CA,2009-01-01,2,2011-08-25,2014-03-25,1
embrella cardiovascular,['Health Care'],6700000.0,USA,PA,2005-03-25,2,2009-07-06,2009-10-01,0
emcore,['Semiconductors'],204142.0,USA,NM,1984-01-01,1,2011-08-30,2011-08-30,1
emergency callworks,['Software'],41358853.86867132,USA,AL,2006-05-13,1,2010-08-24,2010-08-24,1
emergent game technologies,['Games'],49450000.0,USA,CA,2000-01-01,5,2004-03-22,2009-12-10,1
emergent biosolutions,"['Biotechnology', 'Health Care']",2000000.0,USA,MD,1998-01-01,1,2015-02-03,2015-02-03,1
emergent one,"['Developer APIs', 'Enterprises', 'Finance', 'PaaS', 'Software']",448000.0,SGP,unknown,2012-01-01,3,2012-01-01,2012-07-01,0
emergent views,['Hardware + Software'],300000.0,USA,CA,2005-01-01,1,2011-04-29,2011-04-29,0
emergentdetection,"['Fitness', 'Hardware + Software', 'Personal Health', 'Technology', 'Wearables']",277900.0,USA,WA,2010-04-01,2,2010-01-01,2010-01-01,0
emerging threats,['Security'],2400000.0,USA,IN,2003-01-01,3,2012-11-21,2014-05-29,1
emeter,['Clean Technology'],71900834.0,USA,CA,1999-01-01,6,2004-02-10,2010-07-08,1
emic networks,['Networking'],7500000.0,USA,CA,2000-01-04,1,2004-04-16,2004-04-16,0
eminor,['Software'],5000000.0,USA,NC,2006-10-01,2,2006-08-01,2008-10-07,0
emirates biodiesel,['Clean Technology'],15515606.656651298,SGP,unknown,2004-05-20,1,2008-08-31,2008-08-31,0
emisphere technologies,['Biotechnology'],49733850.0,USA,NJ,1986-01-01,3,2010-09-08,2013-05-14,0
"emms, inc.","['Computers', 'Cyber Security', 'Information Technology', 'Software']",2000000.0,USA,CA,2014-10-15,1,2010-10-13,2010-10-13,0
emony,['Software'],1000000.0,ISR,2,1996-09-10,1,2000-12-22,2000-12-22,0
emos futures,['Software'],1100000.0,FRA,A8,1998-01-01,1,2005-03-29,2005-03-29,0
emotion,['Software'],2500000.0,USA,CA,2000-01-01,1,2003-07-01,2003-07-01,1
empire avenue,"['Advertising', 'Curated Web', 'Social Media', 'Stock Exchanges']",1400000.0,CAN,AB,2009-09-29,2,2010-08-12,2011-08-16,1
employee benefit solutions,"['Health and Wellness', 'Health Care', 'Hospitality']",15500000.0,USA,NY,2010-03-06,1,2014-06-17,2014-06-17,1
employinsight,['Curated Web'],1000000.0,USA,VA,2012-01-01,1,2012-02-28,2012-02-28,1
emptoris,"['Finance', 'Software']",12000000.0,USA,MA,1999-01-01,1,2004-11-18,2004-11-18,1
emsense,['Hardware + Software'],13000000.0,USA,CA,2004-01-01,2,2009-11-03,2010-12-10,0
emsystems,['Curated Web'],750000.0,USA,WI,1997-01-01,1,2004-06-01,2004-06-01,1
emu messenger,"['Android', 'Chat', 'Messaging', 'Mobile', 'Productivity Software', 'SMS']",1500000.0,USA,CA,2012-02-26,1,2013-01-28,2013-01-28,1
emulation and verification engineering,['Semiconductors'],9650000.0,USA,CA,2000-01-01,2,2004-06-24,2010-05-25,1
enable holdings,['Sales and Marketing'],5440000.0,USA,IL,1997-01-01,2,2009-04-29,2010-05-17,1
enablence technologies,['Semiconductors'],21000000.0,CAN,ON,2003-01-01,1,2010-12-06,2010-12-06,1
enanta pharmaceuticals,"['Biotechnology', 'Health Care']",21200000.0,USA,MA,1998-01-01,2,2004-01-14,2013-09-03,1
enbridge,['Clean Technology'],1500000.0,CAN,AB,2009-10-19,1,2014-01-30,2014-01-30,1
encarnate,['Games'],41358853.86867132,USA,IL,2008-01-01,1,2008-01-01,2008-01-01,0
encelium technologies,['Hardware + Software'],11000000.0,USA,NJ,2006-09-08,1,2010-12-20,2010-12-20,1
encentuate,['Enterprise Software'],16000000.0,USA,CA,2001-01-01,1,2005-03-22,2005-03-22,1
enclarity,"['Health and Wellness', 'Health Care', 'Information Technology']",15500000.0,USA,CA,2005-02-01,2,2007-01-10,2009-03-10,1
encoate,['Biotechnology'],5100000.0,NZL,unknown,2003-01-01,1,2007-07-24,2007-07-24,0
empowered careers,"['EdTech', 'Education']",19391496.0,USA,CA,2011-06-01,2,2011-06-23,2013-07-05,1
encore technologies,['Music'],21214175.002838995,GBR,H9,2010-08-20,1,2014-12-01,2014-12-01,0
encover,['Software'],24102319.0,USA,UT,2000-02-01,3,2004-05-14,2009-04-01,1
encysive pharmaceuticals,['Biotechnology'],88950000.0,USA,TX,1989-01-01,2,2006-10-19,2007-08-20,1
end,['Fitness'],2500000.0,USA,OR,2007-01-15,1,2007-01-25,2007-01-25,0
endaga,"['Communications Infrastructure', 'Mobile Infrastructure', 'Telecommunications', 'Ventures for Good']",41358853.86867132,USA,CA,2010-04-19,1,2014-07-31,2014-07-31,1
endeavour software technologies,"['Android', 'Consulting', 'Enterprise Software', 'iPad', 'iPhone', 'Mobile', 'Mobility', 'Software']",41358853.86867132,USA,TX,2002-01-14,1,2011-09-21,2011-09-21,1
endeca,"['E-Commerce', 'Enterprises', 'Enterprise Software', 'Search']",65000000.0,USA,MA,1996-09-20,5,2001-01-01,2008-01-01,1
endocyte,"['Biotechnology', 'Health Care']",94100000.0,USA,IN,1996-01-01,5,2006-11-13,2010-12-27,1
endologix,['Biotechnology'],15000000.0,USA,CA,2006-07-16,1,2010-10-27,2010-10-27,1
endomondo,"['Gps', 'Health and Wellness', 'Social Media', 'Tracking']",8175000.0,DNK,17,2007-11-01,7,2008-09-01,2013-12-01,1
endorse,"['Brand Marketing', 'Coupons', 'Loyalty Programs', 'Mobile', 'Shopping']",4250000.0,USA,CA,2010-01-01,1,2012-01-25,2012-01-25,1
endosee,"['Bioinformatics', 'Biotechnology']",3572737.0,USA,CA,2011-01-01,3,2011-10-31,2014-01-31,1
endosense,"['Biotechnology', 'Health Care']",80600000.0,CHE,7,2003-01-01,3,2009-10-27,2013-03-06,1
endosphere,['Health Care'],8148584.0,USA,OH,2007-02-18,3,2011-06-01,2015-06-18,0
endurance lending network,"['Crowdfunding', 'Finance', 'Finance Technology', 'FinTech', 'Peer-to-Peer']",1500000.0,USA,CA,2011-12-01,1,2012-05-01,2012-05-01,1
endurance specialty holdings,['Finance'],220800000.0,BMU,3,2001-01-01,1,2003-02-28,2003-02-28,1
endymed,"['Biotechnology', 'Medical Devices']",7000000.0,ISR,4,2004-01-01,1,2014-08-03,2014-08-03,1
enefpro,"['Energy', 'Oil', 'Oil and Gas']",100000.0,SGP,unknown,2009-05-21,1,2013-09-01,2013-09-01,0
ener1,['Manufacturing'],20000000.0,USA,NY,1985-01-01,1,2009-12-21,2009-12-21,0
energatix studio,['Games'],41358853.86867132,USA,NY,2011-07-01,1,2012-03-01,2012-03-01,0
energie etiche,"['Skill Assessment', 'Software', 'Wind']",87396.0,ITA,7,2010-01-01,3,2012-02-01,2012-09-01,0
energy 51,"['Gas', 'Natural Resources', 'Oil']",14116228.9049613,CAN,AB,2001-02-11,1,2005-05-25,2005-05-25,0
energy focus,['Clean Technology'],2650000.0,USA,OH,1985-01-01,2,2010-01-15,2010-04-14,1
energy innovations,"['Energy Efficiency', 'Innovation Management', 'Solar']",16500000.0,USA,CA,2001-01-01,1,2005-06-22,2005-06-22,0
energy micro,['Semiconductors'],13000000.0,NOR,12,2007-11-01,1,2010-03-18,2010-03-18,1
energy solutions international,"['Services', 'Software']",2000000.0,USA,TX,2000-04-17,1,2004-07-29,2004-07-29,0
energyhub,['Clean Technology'],33052663.0,USA,NY,2007-01-01,5,1999-09-02,2012-12-03,1
energystone games 灵石游戏,"['Mobile Games', 'Online Gaming']",15515606.656651298,SGP,unknown,2013-01-06,1,2014-08-09,2014-08-09,0
energywindow,['Clean Technology'],600000.0,SGP,unknown,1999-04-20,1,2003-08-01,2003-08-01,1
enerlume energy management,['Hardware + Software'],150000.0,USA,CT,1986-01-01,1,2009-05-19,2009-05-19,1
enernoc,"['Clean Energy', 'Clean Technology', 'Energy Efficiency', 'Software']",7750000.0,USA,MA,2001-01-01,1,2005-01-27,2005-01-27,1
enerscore inc.,"['Energy Efficiency', 'Home & Garden', 'Real Estate']",125000.0,SGP,unknown,2015-01-01,1,2015-06-01,2015-06-01,0
enfora,['Mobile'],19000000.0,USA,TX,2002-07-12,1,2006-10-23,2006-10-23,1
enforta,"['Internet', 'Mobile', 'Service Providers', 'Telecommunications', 'Wireless']",40000000.0,RUS,48,2003-10-01,3,2005-01-01,2008-01-01,0
engage,"['Match-Making', 'Online Dating', 'Private Social Networking', 'Social Media']",5000000.0,USA,MA,2002-03-31,1,2006-07-12,2006-07-12,0
engagement labs,"['Analytics', 'Optimization', 'Social Media']",14000000.0,CAN,ON,2008-01-01,2,2014-02-02,2015-03-19,1
engagio (old),['Curated Web'],540000.0,CAN,ON,2012-01-01,1,2012-02-15,2012-02-15,0
engagor,"['Curated Web', 'Customer Service', 'Reputation', 'Social Media Management', 'Social Media Monitoring', 'Social Media Platforms']",2600000.0,BEL,8,2011-02-10,1,2013-08-06,2013-08-06,1
engana pty,['Hardware + Software'],6100000.0,USA,MN,2001-01-01,1,2005-09-26,2005-09-26,0
engineering ideas,"['Apps', 'Consulting', 'Services']",60000.0,ZAF,unknown,2008-05-14,1,2008-05-18,2008-05-18,0
engrade,"['Colleges', 'Education', 'High Schools', 'Software', 'Teachers', 'Universities']",8000000.0,USA,CA,2003-01-01,3,2011-10-01,2013-07-03,1
enigma semiconductor,['Semiconductor Manufacturing Equipment'],12500000.0,USA,CA,2001-01-01,1,2004-03-24,2004-03-24,0
enigma software productions,['Games'],1410000.0,ESP,29,1996-01-01,1,2007-09-25,2007-09-25,0
enigmatec,['Enterprise Software'],32500000.0,GBR,H9,2002-04-01,3,2004-09-20,2008-08-06,0
enikos,"['Advertising', 'Content Syndication', 'Facebook Applications', 'iPhone', 'Software', 'Video', 'Web Tools']",1100000.0,AUS,2,2006-01-01,2,2008-01-01,2008-01-01,0
enjoyor,['Enterprises'],4948562.0,SGP,unknown,2003-08-20,2,2007-12-01,2008-12-01,1
enkia,"['Artificial Intelligence', 'Opinions', 'Social Media', 'Software']",2250000.0,USA,GA,1998-11-09,2,1999-01-01,2000-02-01,1
enobia pharma,"['Biotechnology', 'Health Care', 'Medical', 'Pharmaceuticals']",158261598.746082,CAN,QC,1997-01-01,5,2005-01-18,2011-08-08,1
enodo software,"['Analytics', 'SaaS', 'Sales and Marketing', 'Software']",41358853.86867132,USA,WA,2011-06-01,1,2012-03-01,2012-03-01,0
enomaly,"['Cloud Computing', 'Software', 'Utilities']",21906545.70101279,CAN,ON,2004-01-19,1,2009-09-14,2009-09-14,1
enovance,"['Cloud Computing', 'Open Source', 'Software']",8798987.0,FRA,A8,2008-01-01,2,2011-11-03,2013-07-09,1
enphase energy,"['Clean Technology', 'Semiconductors']",76500000.0,USA,CA,2006-01-01,3,2009-05-18,2011-06-24,1
enpirion,['Semiconductors'],59000000.0,USA,NJ,2001-01-01,4,2004-12-21,2011-03-31,1
enpocket,"['Advertising', 'Mobile']",2000000.0,USA,unknown,2002-07-22,1,2006-11-02,2006-11-02,1
enquiro search solutions,['Search'],750000.0,CAN,BC,1999-08-03,1,2003-11-14,2003-11-14,1
ensogo,['E-Commerce'],41600000.0,THA,40,2009-07-01,4,2010-07-01,2015-04-20,1
enstratius,"['Cloud Computing', 'Cloud Management', 'Enterprise Software', 'Security']",3500000.0,USA,MN,2009-01-01,1,2011-11-07,2011-11-07,1
ent surgical,"['Health Care', 'Medical Devices']",400000.0,USA,OH,2009-01-01,1,2009-01-01,2009-01-01,0
entasso,['Enterprise Software'],50000.0,USA,NC,2007-12-07,1,2012-03-19,2012-03-19,0
entegreat,['Enterprise Software'],41358853.86867132,USA,AL,2000-01-01,1,2013-03-08,2013-03-08,1
entellium,"['CRM', 'Enterprise Software']",66000000.0,USA,WA,2000-02-01,2,2007-01-22,2008-01-01,0
entelos,['Biotechnology'],41358853.86867132,USA,CA,1996-01-01,2,2001-09-01,2013-06-21,1
entermedia,"['Advertising', 'Games']",1000000.0,RUS,48,2005-01-01,1,2008-05-22,2008-05-22,0
enteromedics,['Biotechnology'],31896351.0,USA,MN,2002-01-01,3,2004-07-01,2015-07-08,1
enterprise data safe ltd.,"['Enterprise Software', 'Security']",9542.0,GBR,G5,2006-11-06,1,2006-11-01,2006-11-01,1
entertainment media works,['Software'],4000000.0,USA,NY,2004-07-01,1,2007-02-26,2007-02-26,0
enticelabs,"['Enterprises', 'Enterprise Software', 'Human Resources', 'Recruiting']",3300000.0,USA,UT,2007-01-01,2,2007-08-01,2009-09-25,1
entrade energiesysteme ag,"['Environmental Innovation', 'Renewable Energies', 'Services']",2000000.0,SGP,unknown,2009-11-01,1,2015-10-03,2015-10-03,0
entravision communications corporation,['News'],2000000.0,USA,CA,2007-08-20,1,2011-12-01,2011-12-01,1
entrec,['Public Transportation'],240000000.0,CAN,AB,1995-01-01,1,2014-03-07,2014-03-07,0
entrecard,['Advertising'],70000.0,USA,CT,2007-11-01,2,2007-01-01,2007-11-01,1
entrigue surgical,['Biotechnology'],24350007.0,USA,TX,2003-03-31,4,2007-07-12,2011-11-21,1
entrisphere,['Web Hosting'],108000000.0,USA,CA,2000-01-01,2,2002-09-11,2005-05-09,1
entropic,['Semiconductors'],41358853.86867132,USA,CA,2001-01-01,1,2002-02-01,2002-02-01,1
entropysoft,"['Cloud Computing', 'Data Integration', 'Enterprises', 'Software', 'Synchronization', 'Web CMS']",3500000.0,FRA,A8,2005-03-01,1,2011-03-16,2011-03-16,1
entuity,"['Services', 'Technology']",3200000.0,USA,NY,1997-01-01,1,2004-04-19,2004-04-19,0
enuclia semiconductor,['Semiconductors'],13000000.0,USA,OR,2003-01-01,1,2006-01-12,2006-01-12,0
enumeral biomedical,['Biotechnology'],29941703.0,USA,NY,2009-01-01,6,2011-05-23,2014-08-04,1
enure networks,['Software'],13000000.0,ISR,5,2003-01-01,2,2006-09-18,2007-11-15,0
enuvis,"['Infrastructure', 'Services', 'Wireless']",15000000.0,SGP,unknown,1999-01-01,1,2002-03-19,2002-03-19,0
enverv,['Semiconductors'],27400000.0,USA,CA,2007-09-07,2,2011-12-19,2014-03-24,1
envestnet,['Business Services'],41358853.86867132,USA,IL,1999-01-01,2,2000-07-10,2003-08-06,1
envi - detailing on demand,"['Cars', 'Service Providers', 'Services']",500000.0,SGP,unknown,2015-03-04,1,2015-03-01,2015-03-01,0
envia lá,['Games'],40000.0,BRA,2,2012-01-01,1,2012-11-21,2012-11-21,0
enviance,['Software'],10000022.0,USA,CA,1999-01-01,2,2004-01-13,2013-01-04,1
envio networks,['E-Commerce'],17000000.0,USA,MA,2002-03-11,2,2006-06-22,2008-04-23,1
environmental support solutions,['Software'],8000000.0,SGP,unknown,1993-01-01,1,2006-04-12,2006-04-12,1
anpath group,['Health and Wellness'],1386789.0,USA,FL,1996-01-01,2,2009-04-08,2009-12-22,0
envision healthcare,['Hospitals'],781310880.0,USA,CO,2007-07-30,2,2011-11-10,2014-06-18,0
envision pharmaceutical,"['Delivery', 'Medical', 'Pharmaceuticals']",140992280.0,USA,OH,2001-01-01,1,2013-11-06,2013-11-06,1
envivio,"['Broadcasting', 'Software', 'Technology']",42500000.0,USA,CA,2000-01-01,5,2004-09-21,2012-01-01,1
envox group,['Public Relations'],5280000.0,USA,AZ,1994-01-01,2,2004-03-01,2005-10-09,1
envoyworldwide,['Business Services'],16000000.0,USA,MA,1998-01-01,2,2000-02-01,2002-09-23,1
enzymotec,['Biotechnology'],11000000.0,ISR,3,1998-01-01,1,2009-02-02,2009-02-02,1
eons,"['Senior Citizens', 'Social Media', 'Social Network Media']",32000000.0,USA,MA,2005-01-01,2,2006-04-01,2007-03-01,0
eos data analytics,"['Analytics', 'Databases', 'Services']",1000000.0,USA,CA,2015-01-01,1,2015-01-08,2015-01-08,0
eoshealth,['Health and Wellness'],8200001.0,USA,TX,2008-01-01,1,2014-04-07,2014-04-07,0
cricket media,"['Education', 'Enterprise Software']",56309183.0,USA,VA,1996-01-01,4,2006-12-01,2011-07-26,1
epam systems,"['Outsourcing', 'Software', 'Technology']",50000000.0,USA,PA,1993-01-01,1,2008-06-30,2008-06-30,1
epazz,['Software'],100000.0,USA,IL,2000-03-23,1,2015-04-18,2015-04-18,1
epic production technologies,['Games'],1500000.0,USA,CA,2008-01-01,1,2009-12-03,2009-12-03,0
epicentric,"['Computers', 'Internet', 'Software Compliance']",8000000.0,USA,CA,1998-01-01,2,1999-09-13,2001-06-06,1
epiep,['Biotechnology'],14176048.0,USA,CT,2008-01-01,4,2009-07-20,2015-09-23,0
epigenomics ag,"['Health Diagnostics', 'Software']",58519352.0,SGP,unknown,1998-01-01,4,2000-11-14,2014-10-16,1
epiphany ai (digital),"['Advertising', 'Media', 'Online Video Advertising']",41358853.86867132,USA,CO,2014-01-01,1,2015-07-03,2015-07-03,0
epizyme,"['Biotechnology', 'Health and Wellness']",61500000.0,USA,MA,2007-01-01,5,2009-10-07,2014-02-12,1
eplata,"['Finance', 'Financial Services', 'Mobile']",15515606.656651298,SGP,unknown,2014-01-10,2,2014-01-10,2015-04-01,0
epocrates,"['Health and Wellness', 'Health Care', 'Mobile', 'Software']",35000000.0,USA,CA,1998-01-01,3,2000-08-17,2008-01-08,1
epona biotech,"['Alumni', 'Health Care']",12500.0,SGP,unknown,2011-04-20,1,2015-08-01,2015-08-01,0
epoq,"['Law Enforcement', 'Legal']",16554338.0,GBR,H9,1994-01-01,1,2007-01-01,2007-01-01,0
captual,"['Education', 'Media', 'Software', 'Video Streaming']",24999996.0,CAN,ON,2007-08-01,1,2012-09-05,2012-09-05,1
eprivatehire,"['Mobile', 'Software', 'Web Development']",258215.0,SGP,unknown,2006-02-02,1,2006-01-01,2006-01-01,0
epropertydata,"['Finance', 'FinTech']",41358853.86867132,USA,WA,2003-11-25,1,2008-03-07,2008-03-07,1
eps,['Clean Technology'],20000000.0,USA,CA,2003-09-01,1,2007-12-13,2007-12-13,1
epunchit,"['Entertainment', 'Gamification', 'Incentives', 'Local', 'Mobile', 'Organic', 'Sales and Marketing', 'Startups', 'Technology']",40000.0,USA,CA,2011-11-12,1,2012-12-28,2012-12-28,0
epv solar,['Clean Technology'],4800000.0,USA,NJ,2004-09-06,1,2008-12-18,2008-12-18,1
epy.io,"['Analytics', 'Big Data', 'Health and Wellness', 'News', 'Simulation', 'Web Development']",120000.0,USA,NY,2013-05-01,1,2013-09-01,2013-09-01,0
epyon,['Automotive'],35800843.303138405,NLD,unknown,2004-03-08,1,2008-06-19,2008-06-19,1
eqal,"['Curated Web', 'Entertainment', 'Media', 'Television', 'Video']",6875000.0,USA,CA,2008-04-01,2,2008-04-16,2011-05-23,1
eqo,"['Messaging', 'Mobile', 'Software', 'VoIP']",12500000.0,CAN,BC,2006-02-01,2,2006-01-01,2007-04-25,0
equaleyes,"['Apps', 'Mobile', 'Software']",78259.0,GBR,H9,2012-01-01,1,2012-08-01,2012-08-01,0
equallogic,['Enterprise Software'],47000000.0,USA,NH,1984-01-01,3,2001-01-01,2004-07-06,1
equifax,['Consulting'],1000000.0,USA,GA,2005-05-24,1,2009-09-04,2009-09-04,1
equinix,['Web Hosting'],280000000.0,USA,CA,1998-01-01,2,1999-12-03,1999-12-03,1
equinox converged solutions,"['Design', 'Optical Communications', 'Wireless']",20130789.0,GBR,H9,1999-10-11,1,2004-01-22,2004-01-22,0
equipio.com,['E-Commerce'],161080.0,GBR,H9,2006-12-01,1,2011-03-14,2011-03-14,0
equitas holdings,['Finance'],16000000.0,IND,25,2007-01-01,1,2013-12-20,2013-12-20,0
era,"['Aerospace', 'Industrial', 'New Technologies']",7000000.0,SGP,unknown,2002-08-11,1,2006-11-22,2006-11-22,1
eragen biosciences,['Biotechnology'],12000000.0,USA,WI,1994-01-01,1,2006-01-09,2006-01-09,1
erento,"['Marketplaces', 'Online Rental']",26718000.17836007,DEU,16,2003-01-01,1,2007-01-01,2007-01-01,1
eribis pharmaceuticals,['Biotechnology'],12111197.656653391,SWE,21,2005-10-15,1,2010-01-26,2010-01-26,0
erly,['Social Media'],41358853.86867132,USA,CA,2011-01-01,1,2011-08-02,2011-08-02,1
ernie's,"['E-Commerce', 'Online Shopping', 'Sales and Marketing']",15000.0,SGP,unknown,2011-03-05,2,2011-03-05,2011-07-15,0
erth technologies,['Clean Technology'],2000000.0,USA,CO,2002-01-01,1,2008-06-02,2008-06-02,0
eruces,['Software'],2551000.0,USA,KS,2006-11-21,2,2011-03-04,2011-03-04,0
erytech pharma,['Biotechnology'],85919109.0,FRA,B9,2001-07-23,6,2005-11-03,2014-10-23,1
esali - ebusiness agency,"['Content', 'SEO', 'Services']",7055.0,SWE,26,2010-03-17,1,2010-03-17,2010-03-17,0
esbatech,['Biotechnology'],63000000.0,GBR,C5,1998-01-01,2,2006-08-02,2008-08-07,1
escapia,['Software'],3600000.0,USA,WA,2000-01-01,2,2006-10-04,2009-06-24,1
escapism media,['Hospitality'],209000.0,GBR,M3,2003-07-22,1,2007-11-02,2007-11-02,0
