name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status
Flaconi,"['Beauty', 'Cosmetics', 'E-Commerce', 'Internet', 'Online Shopping']",-,,,2011-01-01,1,2012-08-01,2012-08-01,acquired
Flagr,['Mobile'],-,USA,NY,,1,2006-03-02,2006-03-02,closed
Flareo,['Search'],700000,USA,CA,2010-04-01,1,2011-10-22,2011-10-22,closed
Flarion Technologies,"['Communications Hardware', 'Mobile', 'Telecommunications']",-,USA,NJ,,1,2003-07-08,2003-07-08,acquired
Flash Ventures,['Manufacturing'],611387,USA,NY,2002-01-01,2,2010-01-29,2010-08-12,closed
Flashline,['Information Technology'],11000000,,,,2,2002-02-28,2002-11-18,acquired
FlashSoft,"['Networking', 'Software', 'Storage', 'Virtualization']",3000000,USA,CA,2009-11-25,1,2011-06-28,2011-06-28,acquired
FlatBurger,['Software'],6750000,USA,NY,,2,2006-03-28,2007-05-23,closed
flatfox AG,,-,,,2012-11-28,1,2014-01-30,2014-01-30,closed
Flatora,['E-Commerce'],750000,RUS,48,2011-12-23,1,2012-01-01,2012-01-01,closed
flaveit,"['Networking', 'Social Media']",300000,,,2011-09-15,1,2011-09-01,2011-09-01,closed
Flavour,['Apps'],1125000,USA,NY,2014-01-01,1,2014-04-30,2014-04-30,acquired
MyRoll,"['Apps', 'Photography', 'Video', 'Video on Demand']",2450000,ISR,5,2012-01-01,2,2012-10-05,2014-04-09,acquired
Fleck,['Curated Web'],286839,NLD,7,2006-11-01,1,2006-11-01,2006-11-01,closed
Fleecs,['Business Services'],50000,,,,1,2012-01-01,2012-01-01,closed
Fleet Management Solutions,"['Data Security', 'Fleet Management', 'Gps']",2400000,USA,CA,2002-01-01,1,2006-09-12,2006-09-12,acquired
FleetCor Technologies,"['Business Services', 'Finance', 'FinTech']",175000000,USA,GA,2000-01-01,2,2005-07-07,2009-04-08,ipo
FleetMatics,"['Gps', 'Software']",93000000,USA,IL,2004-10-22,2,2008-08-10,2010-12-06,ipo
Flex Pharma,['Pharmaceuticals'],40000000,USA,MA,2014-01-01,1,2014-09-08,2014-09-08,ipo
Flexiant,['Enterprise Software'],10497161,GBR,H9,2009-12-09,2,2012-11-23,2013-04-07,acquired
Flexion Therapeutics,"['Biotechnology', 'Health Care']",107000000,USA,MA,2007-01-01,3,2009-10-01,2014-02-12,ipo
Flexis,['Software'],4000000,RUS,48,2006-01-01,1,2013-08-19,2013-08-19,closed
FlexShopper,['E-Commerce'],109350000,USA,FL,,2,2015-03-12,2015-03-12,ipo
Flextrip,"['Finance', 'FinTech', 'Tourism', 'Travel']",350000,USA,CO,2010-09-01,2,2011-08-01,2011-11-01,acquired
Flextronics International,"['Electronics', 'Engineering Firms', 'Manufacturing', 'Networking']",200000000,SGP,,1969-01-01,1,2003-03-03,2003-03-03,ipo
Flexus Biosciences,"['Bio-Pharm', 'Biotechnology', 'Medical']",53200000,USA,CA,2013-01-01,2,2014-12-17,2015-03-20,acquired
FlickIM,"['Chat', 'Messaging', 'Mobile']",1600000,USA,CA,2006-12-01,1,2007-03-01,2007-03-01,closed
Flickme,['Games'],-,USA,CA,2011-01-01,1,2011-08-30,2011-08-30,closed
Flickr,"['Photography', 'Photo Sharing', 'Social Media', 'Video']",-,USA,CA,2004-01-01,1,2004-06-01,2004-06-01,acquired
Fliggo,['Games'],-,USA,CA,2012-06-11,1,2009-01-01,2009-01-01,closed
FlightCaster,['Travel'],1300000,USA,CA,,3,2009-05-01,2009-11-23,closed
"FlightRecorder, Inc.",,300000,USA,CA,2013-10-04,2,2014-06-01,2015-07-17,closed
Flip Jobs,,33433,,,,1,2014-05-12,2014-05-12,closed
FlipKey,"['Reviews and Recommendations', 'Travel', 'Vacation Rentals']",500000,USA,MA,2007-01-01,2,2007-12-01,2008-08-20,acquired
Flipswap,"['Mobile', 'Recycling']",14000000,USA,CA,2005-01-01,1,2008-11-12,2008-11-12,closed
Flipter,"['Big Data', 'Curated Web', 'Polling', 'Social Media']",60000,CHL,12,2010-01-01,2,2012-02-15,2013-09-01,acquired
Fliptop,"['Big Data', 'Enterprise Software', 'Predictive Analytics', 'Software']",8500000,USA,CA,2010-01-01,3,2011-06-28,2013-03-01,acquired
Flipzu,"['Audio', 'Broadcasting', 'Games', 'Music']",150000,ARG,7,2010-06-01,1,2011-05-13,2011-05-13,closed
Fliqz,['Games'],13200001,USA,CA,2005-05-10,4,2006-01-01,2009-07-10,acquired
Flirtomatic,"['Mobile', 'Networking', 'Online Dating', 'Social Media']",12951579.9733927,GBR,H9,2006-01-01,3,2007-06-18,2010-11-24,closed
Flix Innovations Ltd,"['Cloud Data Services', 'Film Distribution']",1106831,GBR,J1,2008-06-01,1,2015-04-15,2015-04-15,closed
Flixlab,"['Entertainment', 'Games', 'Presentations', 'Video']",5102400,USA,CA,2010-01-01,7,2008-10-22,2011-03-22,closed
Flixster,"['Entertainment', 'Networking', 'Social Media', 'Social Network Media', 'Video Streaming']",7175000,USA,CA,2006-01-20,3,2006-02-01,2008-04-04,acquired
Flocations,"['Big Data', 'Consumers', 'Travel']",623500,SGP,,2012-05-01,3,2012-02-01,2012-12-14,acquired
Flock,"['Browser Extensions', 'Social Media', 'Software']",28300000,USA,CA,2005-01-01,5,2005-01-01,2008-05-22,acquired
Floop,['Social Media'],475000,USA,CT,,2,2011-03-16,2011-07-11,closed
FlowCardia,['Health Care'],30000000,USA,CA,2002-01-01,1,2007-08-30,2007-08-30,acquired
Flowdock,"['Chat', 'Collaboration', 'Information Technology', 'Internet', 'Messaging', 'Productivity Software', 'Real Time', 'SaaS', 'Software']",650000,FIN,13,2009-12-23,1,2011-10-01,2011-10-01,acquired
Flowgram,"['Curated Web', 'Digital Media']",1300000,USA,CA,2007-06-01,1,2008-01-31,2008-01-31,closed
FlowJob,"['Bridging Online and Offline', 'Online Shopping', 'Service Providers']",86547,GBR,R3,2010-01-01,1,2010-05-01,2010-05-01,closed
FlowMedica,['Health Care'],20600000,USA,CA,2002-01-01,2,2004-10-11,2005-11-08,acquired
FlowPay,"['Finance', 'FinTech', 'Software', 'Venture Capital']",3800000,USA,DE,2011-04-20,2,2012-10-18,2014-02-20,acquired
Flowtown,['Analytics'],750000,USA,CA,2009-02-01,1,2010-08-25,2010-08-25,acquired
Flud,"['Enterprise Software', 'Mobile', 'News', 'Social Media']",2100000,USA,CA,2010-10-01,3,2011-04-13,2012-09-01,closed
Fluent.ai,"['Speech Recognition', 'Technology']",414016,CAN,QC,2015-01-01,1,2015-05-01,2015-05-01,closed
fluently,"['Enterprise Software', 'SaaS', 'Translation']",-,GBR,H9,2015-05-10,1,2015-06-01,2015-06-01,closed
Fluidigm,['Biotechnology'],98203214,USA,CA,1999-01-01,6,2004-01-06,2011-01-21,ipo
fluIT Biosystems,['Curated Web'],767000,DEU,1,,1,2006-08-01,2006-08-01,closed
Flurry,"['Advertising', 'Mobile']",73255000,USA,CA,2005-01-01,8,2007-03-08,2014-07-01,acquired
Fluther,['Curated Web'],600000,USA,CA,2007-01-01,1,2009-09-21,2009-09-21,acquired
Flutter.com,['Games'],-,,,1999-01-01,2,1999-10-01,2000-04-01,acquired
Flutter,"['Apps', 'Software']",1400000,USA,CA,2010-01-01,1,2012-06-07,2012-06-07,acquired
Flux Power,['Clean Technology'],1900000,USA,CA,2009-10-01,1,2014-03-13,2014-03-13,closed
Fluxome,['Health and Wellness'],27739937.0108598,DNK,17,,3,2005-11-30,2011-12-19,acquired
Fluxxion,,8663829.86404104,NLD,6,,1,2007-05-17,2007-05-17,closed
FLXone,"['Advertising', 'Big Data', 'Software']",2651558,NLD,6,2012-02-01,1,2012-03-25,2012-03-25,acquired
Fly Labs,['iPhone'],750000,USA,NY,,1,2015-05-19,2015-05-19,acquired
Fly Media,"['Internet Marketing', 'Public Relations', 'Video']",1100000,USA,CA,1988-01-01,2,2011-04-07,2012-01-17,closed
Fly Now Pay Later,"['Finance', 'FinTech']",1500000,,,2014-01-01,1,2015-06-01,2015-06-01,closed
FlyCast,"['iPhone', 'Mobile']",2100000,USA,PA,2006-01-01,2,2008-01-01,2009-07-22,closed
Flying Fish Creative Services,,2400000,USA,LA,,1,2006-12-08,2006-12-08,closed
Flying Pig Digital,['Games'],25000,USA,NC,2010-01-01,1,2012-04-01,2012-04-01,closed
Flypaper,['Software'],6629950,USA,OH,1998-01-01,3,2008-02-01,2013-11-04,acquired
FMI International,['Logistics'],49000000,USA,NJ,,1,2003-04-17,2003-04-17,closed
Foamix,['Pharmaceuticals'],60000000,ISR,2,2003-01-01,1,2015-04-15,2015-04-15,ipo
FOBO,"['Hardware + Software', 'Local', 'Marketplaces', 'Mobile']",1600000,USA,CA,,2,2012-10-18,2014-04-24,acquired
FocalCast,"['Apps', 'Mobile', 'Wireless']",100000,,,2013-09-04,1,2015-02-15,2015-02-15,closed
Focaltech Systems,['Electronics'],-,TWN,4,,1,2010-01-29,2010-01-29,ipo
Focus,"['Finance', 'FinTech']",12170000,USA,CA,2005-08-01,1,2008-03-06,2008-03-06,closed
Focus Media,['Semiconductors'],3520000,SGP,,,3,2004-02-01,2004-09-01,ipo
Focus Ventures,,3214323,USA,CA,1996-01-01,1,2015-06-04,2015-06-04,ipo
Foglaljorvost,,-,,,,1,2015-06-08,2015-06-08,closed
Foldax,['Manufacturing'],500000,USA,,2013-01-01,2,2014-04-21,2015-06-16,closed
Foldees,"['Crowdsourcing', 'Curated Web', 'Design', 'Gift Card', 'Portals']",40000,MYS,12,2007-08-31,1,2007-10-31,2007-10-31,closed
Foldrx Pharmaceuticals,['Biotechnology'],29000000,USA,MA,2003-01-01,1,2010-06-15,2010-06-15,acquired
Folio Holdings,,-,USA,FL,,1,2015-07-21,2015-07-21,closed
FolioDynamix,"['Finance', 'FinTech']",27500000,USA,NY,2007-01-01,3,2008-08-08,2012-05-15,acquired
Folkstr,['Social Media'],250000,,,2007-10-10,1,2008-03-23,2008-03-23,closed
Followap,['Messaging'],20500000,GBR,N7,1999-01-01,3,2005-02-22,2006-11-01,acquired
Fonbox,,-,USA,FL,,1,1999-11-30,1999-11-30,closed
Fondu,"['Curated Web', 'Location Based Services', 'Reviews and Recommendations']",575000,USA,NY,2010-02-01,1,2011-11-01,2011-11-01,acquired
Fonemesh,['Mobile'],250000,USA,CA,2008-04-01,2,2008-05-01,2008-06-01,closed
FoneStarz Media,['Mobile'],6975497,GBR,C3,,1,2006-04-10,2006-04-10,acquired
Fonmatch,"['Apps', 'Chat', 'Mobile', 'Online Dating']",350000,USA,CA,,1,2011-07-01,2011-07-01,closed
Food Brasil,['Hospitality'],110000,BRA,23,2010-07-10,1,2010-12-03,2010-12-03,closed
Food on the Table,['Mobile'],2249999,USA,TX,2009-01-01,1,2009-08-28,2009-08-28,acquired
Food Quality Sensor International,['Hardware + Software'],5600000,USA,MA,2004-01-01,1,2007-08-27,2007-08-27,closed
Food Runner,"['Delivery', 'Internet', 'Specialty Foods']",1500000,PHL,D9,,1,2012-11-01,2012-11-01,acquired
FoodBuzz,['Hospitality'],1750000,USA,CA,,2,2009-08-10,2010-04-29,acquired
FoodByNet,"['B2B', 'Consumer Goods', 'E-Commerce', 'Retail']",5000000,RUS,48,,1,2013-04-01,2013-04-01,closed
FoodCrave Inc,['Delivery'],150000,USA,CA,2013-08-10,1,2013-08-10,2013-08-10,closed
Foodily,"['Cooking', 'Hospitality', 'Recipes']",7720000,USA,CA,2010-01-01,2,2010-06-25,2013-04-01,acquired
Foodlo,"['Food Processing', 'Organic Food', 'Restaurants', 'Specialty Foods']",-,,,2015-04-22,1,2015-07-20,2015-07-20,closed
FOODSCROOGE,"['E-Commerce', 'Group Buying']",200554,CAN,ON,2010-10-01,1,2011-02-01,2011-02-01,closed
Foodspotting,"['Guides', 'Hospitality', 'Local', 'Location Based Services', 'Startups']",3750000,USA,NY,2009-09-01,2,2010-08-25,2011-01-10,acquired
Foodzie,"['E-Commerce', 'Finance', 'FinTech', 'Handmade', 'Local', 'Marketplaces', 'Organic Food']",1015000,USA,CA,,2,2008-05-01,2008-12-16,acquired
fooji,"['Delivery', 'E-Commerce', 'Hospitality', 'Internet', 'Local', 'Location Based Services', 'Mobile', 'Restaurants']",60000,USA,NY,2015-05-18,1,2015-09-03,2015-09-03,closed
Foonz,"['Mobile', 'VoIP']",1080000,,,,1,2007-01-24,2007-01-24,closed
Footbalistic,['Sports'],500000,USA,CA,2009-03-01,1,2010-06-09,2010-06-09,closed
For Art's Sake Media,"['Art', 'Curated Web', 'Image Recognition', 'Media']",100000,,,2007-10-01,1,2008-01-01,2008-01-01,closed
For Your Imagination,"['Entertainment', 'Games', 'Internet Marketing', 'Sales and Marketing', 'Video']",1300000,USA,NY,2007-01-15,1,2008-10-15,2008-10-15,closed
Forbes Medi-Tech,['Life Sciences'],10750000,,,,1,2004-01-07,2004-01-07,acquired
Force10 Networks,['E-Commerce'],255067782,USA,CA,1999-01-01,6,2003-02-01,2009-12-09,acquired
ForeSee,"['Analytics', 'Customer Service', 'E-Commerce', 'Loyalty Programs']",20000000,USA,MI,2001-09-01,1,2007-04-04,2007-04-04,acquired
Foresight Biotherapeutics,['Biotechnology'],17000290,USA,NY,2008-01-01,2,2011-07-29,2013-11-13,acquired
Forhealth Technologies,"['Health Care', 'Medical Devices', 'Technology']",9000000,USA,FL,1998-01-01,1,2007-12-03,2007-12-03,acquired
Forkspot,,105000,,,2014-12-02,1,2015-08-12,2015-08-12,closed
Form Devices,,-,,,,1,2014-07-01,2014-07-01,closed
Form.io,"['Developer APIs', 'Internet', 'Services']",500000,USA,TX,2015-03-06,1,2015-03-01,2015-03-01,closed
Formabilio,"['Design', 'E-Commerce', 'Environmental Innovation', 'Startups']",-,ITA,20,2012-09-26,1,2014-05-07,2014-05-07,closed
Formative Labs,['Clean Technology'],-,USA,CA,2010-01-01,2,2010-01-01,2010-10-10,closed
Formspring,"['Curated Web', 'MicroBlogging', 'SaaS', 'Sales and Marketing', 'Social Network Media']",14255000,USA,CA,2009-11-25,3,2010-01-15,2011-01-11,acquired
Forrst,"['Curated Web', 'Design', 'Social Network Media']",205000,USA,CA,2010-01-25,1,2011-03-24,2011-03-24,acquired
Forseva,"['Information Technology', 'Software']",-,USA,IL,2009-01-01,1,2009-10-01,2009-10-01,acquired
Fortegra Financial,"['Finance', 'FinTech']",-,USA,FL,,1,2007-06-20,2007-06-20,acquired
Forticom,"['Communities', 'Networking', 'Social Media', 'Social Network Media', 'Software']",-,LVA,25,1999-01-01,1,2009-01-01,2009-01-01,closed
Fortify Software,['Software'],10000000,USA,CA,2002-10-01,2,2005-12-15,2007-11-01,acquired
Fortinet,"['Communications Hardware', 'Computers', 'Data Security', 'Enterprise Security', 'Information Security', 'Mobile Security', 'Network Security', 'Wireless']",80000000,USA,CA,2000-01-01,2,2003-08-29,2004-03-02,ipo
Fortisphere,"['Software', 'Virtualization']",10000000,USA,VA,2006-01-01,1,2007-11-19,2007-11-19,closed
GeoIQ,['Analytics'],11500000,USA,VA,2005-07-07,3,2005-07-01,2010-08-26,acquired
FortiusOne,,5450000,,,,1,2007-05-17,2007-05-17,closed
Fortress Technologies,['Public Relations'],4170000,USA,MA,,1,2007-03-23,2007-03-23,acquired
Forums,,-,,,2013-01-01,1,2013-01-01,2013-01-01,closed
Fosbury,"['Consumer Electronics', 'Finance', 'iOS', 'Mobile', 'Mobile Coupons', 'Wireless']",350000,USA,NY,2012-12-01,1,2013-08-05,2013-08-05,acquired
CoderBuddy,['Software'],-,,,2010-01-01,1,2011-10-01,2011-10-01,closed
FOSHO,"['E-Commerce', 'Fashion', 'Retail', 'Women']",16000,GBR,H9,2015-02-26,1,2015-03-01,2015-03-01,closed
Fotolia,"['Advertising', 'Photography']",225000000,USA,NY,2005-01-01,2,2009-05-01,2012-05-16,acquired
Fotolog,"['Networking', 'Photography', 'Photo Sharing', 'Social Media']",4099999,USA,NY,2002-05-01,1,2006-10-04,2006-10-04,acquired
Fotomoto,"['E-Commerce', 'Photography']",1822922,USA,CA,2008-10-01,3,2008-12-01,2011-05-26,acquired
Foundshopping.com,"['Mobile', 'Shopping']",80000,ZAF,,2012-03-01,2,2012-03-01,2012-10-30,closed
Foundation Medicine,['Health Care'],96500000,USA,MA,2010-01-01,4,2010-04-15,2013-01-08,acquired
FoundationDB,"['Analytics', 'Databases']",22650000,USA,VA,2009-01-01,2,2011-12-22,2013-11-12,acquired
Foundry Hiring,['Software'],-,USA,CA,2011-01-01,1,2011-01-01,2011-01-01,closed
Fountain,"['Home & Garden', 'Internet', 'Software']",4000000,USA,CA,2013-11-01,2,2014-06-30,2014-10-23,acquired
Four K Entertainment,"['Mobile', 'Wireless']",-,USA,FL,,1,2015-07-20,2015-07-20,closed
FOURward Thought,"['Collaboration', 'Consulting', 'Technology']",4000,,,2010-10-01,1,2010-10-01,2010-10-01,closed
Fovea Pharmaceuticals,"['Bio-Pharm', 'Medical', 'Pharmaceuticals']",82690509.1220444,FRA,,,2,2007-03-13,2007-12-18,acquired
.FOX Networks,['Advertising'],4912393,,,,1,2007-01-16,2007-01-16,closed
FoxyTunes,"['Browser Extensions', 'Music', 'Search', 'Web Browsers']",-,,,2005-01-01,1,2005-01-01,2005-01-01,acquired
Fracktal works,['Consumer Electronics'],2980000,IND,19,2013-07-26,1,2015-06-18,2015-06-18,ipo
Framehawk,"['Android', 'Cloud Computing', 'Enterprise Software', 'iPad', 'iPhone', 'Mobility', 'Software', 'Tablets']",16500000,USA,CA,2008-08-01,2,2011-12-06,2012-01-13,acquired
Frankis Solutions Limited,"['Construction', 'Services']",3012255,GBR,G5,1999-01-01,1,2010-03-03,2010-03-03,closed
Frankly Inc,['Messaging'],22300000,USA,CA,2013-02-01,3,2013-09-24,2014-10-07,ipo
Fraud Protection Network,['Software'],112500,USA,FL,,1,2015-07-10,2015-07-10,closed
Fraud Sciences,['Security'],11000000,USA,CA,,1,2007-10-01,2007-10-01,acquired
Frayman Group,"['Enterprise Software', 'Risk Management']",-,USA,NY,2007-02-01,1,2007-02-01,2007-02-01,acquired
Frazr,['Web Hosting'],-,,,,1,2007-05-01,2007-05-01,closed
FreakOut,['Advertising'],5414717,JPN,40,2010-10-01,2,2013-03-11,2014-05-15,ipo
Free & Clear,['Health and Wellness'],10000000,USA,WA,,1,2010-01-01,2010-01-01,acquired
Free Discount Coupons in India,"['Coupons', 'Discounts', 'Online Shopping']",15742,,,2015-02-12,1,2015-05-25,2015-05-25,closed
Free-lance.ru,"['Employment', 'Freelancers', 'Moneymaking']",5000000,RUS,,2005-01-01,1,2012-11-02,2012-11-02,closed
Freebase,['Curated Web'],42000000,USA,CA,,1,2008-01-16,2008-01-16,acquired
FreeBike Project,['Advertising'],15000,USA,CA,2012-03-01,2,2013-08-01,2014-02-20,closed
FreeBorders,['Consulting'],20000000,USA,CA,1999-01-01,1,2005-10-27,2005-10-27,acquired
FreeCharge,"['Internet', 'Payments']",113000000,IND,16,2010-01-01,2,2014-09-01,2015-02-05,acquired
Freedom Powersports,,-,USA,TX,,1,2013-02-01,2013-02-01,closed
"Freedom Scientific Holdings, LLC","['Assisitive Technology', 'Manufacturing']",-,USA,FL,2000-01-01,1,2000-04-10,2000-04-10,acquired
Freedom2,['Beauty'],1500000,USA,NJ,,1,2007-03-28,2007-03-28,closed
FreeDrive,['Storage'],20000000,USA,IL,1993-01-01,1,2000-09-30,2000-09-30,acquired
Freeliant,"['Application Platforms', 'Information Technology', 'Service Providers']",5400000,,,2000-01-01,2,2001-10-01,2001-11-01,acquired
FreeLunched,"['Advertising', 'Sales and Marketing']",-,USA,FL,2010-01-15,1,2010-01-15,2010-01-15,closed
FreeMarkets,['Technology'],-,USA,PA,,1,1996-05-01,1996-05-01,ipo
FreeMonee,['Advertising'],45000000,USA,CA,2009-06-01,3,2010-01-28,2013-01-28,closed
Freescale Semiconductor,['Semiconductors'],17600000000,USA,TX,1953-01-01,1,2006-10-21,2006-10-21,ipo
Freestyle Software,['Software'],4975000,USA,CA,,1,2015-07-01,2015-07-01,closed
Freever,"['Application Platforms', 'Development Platforms', 'Mobile']",-,FRA,A8,1999-01-01,1,2000-10-01,2000-10-01,acquired
Webs,['Curated Web'],12000000,USA,MD,2001-06-01,2,1998-02-09,2006-08-01,acquired
FreeWheel,"['Advertising', 'Enterprise Software', 'Television', 'Video']",45139996,USA,CA,2007-02-01,4,2008-02-01,2012-10-01,acquired
Frenzi,"['Apps', 'Brand Marketing', 'Games']",22614,GBR,H9,2014-10-01,1,2015-03-10,2015-03-10,closed
Frequent Browser,"['Advertising', 'Incentives', 'Loyalty Programs', 'Sales and Marketing']",200000,USA,IL,2010-07-01,1,2010-01-01,2010-01-01,closed
Fresenius Medical Care,"['Biotechnology', 'Health and Wellness', 'Medical Devices', 'Technology']",106185472,DEU,9,1996-01-01,16,2010-11-05,2015-08-17,ipo
Fresh Dish,"['Delivery', 'Hospitality']",500000,USA,CA,,1,2012-11-28,2012-11-28,closed
Fresh Monster,"['Beauty', 'Kids']",25000,,,,1,2014-02-06,2014-02-06,closed
freshbag,,-,USA,OH,2010-12-01,1,2011-01-01,2011-01-01,closed
Freshplum,"['Analytics', 'E-Commerce', 'Optimization']",2484999,USA,CA,2011-01-01,3,2011-06-01,2014-02-13,acquired
FreshToWeb,,-,,,2015-09-09,1,2015-09-09,2015-09-09,closed
FRETBAY,"['Marketplaces', 'Transportation']",554105,,,2008-01-06,1,2013-05-20,2013-05-20,closed
Friend.ly,"['Curated Web', 'MicroBlogging', 'Social Media', 'Social Network Media']",5000000,USA,CA,,1,2011-01-01,2011-01-01,acquired
Friend Traveler,['Travel'],-,USA,NY,,1,2012-01-01,2012-01-01,closed
FriendFeed,"['Social Media', 'Social Network Media']",5000000,USA,CA,2007-10-01,1,2008-02-26,2008-02-26,acquired
FriendFinder Networks,"['Games', 'Services', 'Social Network Media']",551200000,USA,FL,1996-01-01,1,2010-10-28,2010-10-28,ipo
Friendly Wager App,['Sports'],-,USA,NV,2011-07-27,1,2011-12-01,2011-12-01,closed
Friends Around,"['Mobile', 'Mobile Social', 'Social Network Media']",1000000,,,2009-07-28,1,2009-12-04,2009-12-04,closed
Friendsignia,"['Contact Management', 'Curated Web', 'Networking', 'Social Media']",15000,USA,TN,2012-01-29,1,2012-01-29,2012-01-29,closed
Friendster,"['Networking', 'Private Social Networking', 'Social Media']",48500000,MYS,14,2001-01-03,5,2002-12-01,2008-08-05,acquired
Frilp,['E-Commerce'],500000,IND,25,2013-02-01,2,2013-01-03,2014-08-08,acquired
fring Ltd,"['Developer APIs', 'Email', 'Facebook Applications', 'Messaging', 'Mobile', 'Search', 'Twitter Applications', 'VoIP', 'Wireless']",30000000,ISR,5,2006-05-10,4,2006-03-01,2011-05-24,acquired
Fringe Corp,"['Mobile', 'Telecommunications']",410000,USA,MA,2009-01-01,1,2010-04-12,2010-04-12,closed
Frogmetrics,"['Analytics', 'Reviews and Recommendations']",-,USA,NY,2008-01-01,1,2008-06-01,2008-06-01,closed
from scratch,['Internet Marketing'],2515051,,,2010-04-06,1,2015-05-15,2015-05-15,closed
Front Studio,"['Consulting', 'Design', 'User Experience Design']",-,GBR,R3,2000-01-01,1,2014-06-01,2014-06-01,acquired
Front Up,['Fashion'],344853,GBR,A7,,2,2012-08-01,2013-09-01,closed
Frontback,"['Curated Web', 'Finance', 'Identity']",3910000,USA,CA,2011-01-01,2,2012-06-12,2013-10-29,closed
Frontbridge Technologies,"['Email', 'Software']",8000000,,,,1,2003-08-18,2003-08-18,acquired
Fronteer Solutions AS,"['Finance Technology', 'Financial Services', 'FinTech', 'Hedge Funds', 'Wealth Management']",1885043,NOR,12,2010-02-15,3,2012-09-01,2015-08-01,closed
FrontierMetrix,,-,,,2014-05-01,1,2015-05-19,2015-05-19,closed
Frontleaf,"['SaaS', 'Sales and Marketing', 'Software']",478000,USA,CA,2013-03-01,2,2013-07-10,2014-01-23,acquired
Frontline GmbH,['Fashion'],-,,,,1,2010-06-16,2010-06-16,acquired
froodies GmbH,"['Groceries', 'Hospitality', 'Internet']",-,DEU,7,2009-03-01,1,2011-01-01,2011-01-01,closed
frooly,"['E-Commerce', 'Internet', 'Online Shopping', 'Small and Medium Businesses', 'Social Media']",1308754,GBR,L9,2009-06-06,1,2010-06-09,2010-06-09,closed
FRUCT,"['Computers', 'Telecommunications', 'Wireless']",300000,,,2007-01-01,1,2012-12-01,2012-12-01,closed
Frugalo,['Curated Web'],140000,USA,WA,2011-06-01,1,2011-10-01,2011-10-01,acquired
FRWD Technologies,['Sports'],1882200,FIN,8,2000-01-01,1,2005-05-23,2005-05-23,acquired
Fry Multimedia,"['Consumer Goods', 'Design', 'Retail']",-,USA,CA,1994-01-01,1,1999-07-08,1999-07-08,acquired
FSI International,['Semiconductors'],-,USA,MN,1973-01-01,1,1985-10-20,1985-10-20,closed
FTAPI Software GmbH,"['Cloud Computing', 'Cloud Security', 'Email', 'File Sharing', 'IT and Cybersecurity', 'Security', 'Software']",-,DEU,2,2010-01-01,1,2012-02-29,2012-02-29,acquired
Fuego,"['Enterprises', 'Enterprise Software']",5000000,USA,TX,,1,2004-11-18,2004-11-18,closed
Fuego Nation,['Social Media'],1500000,USA,CA,2007-01-01,1,2008-03-11,2008-03-11,closed
FuelCell Energy Inc,['Manufacturing'],30000000,USA,CT,1969-01-01,1,2014-03-02,2014-03-02,ipo
FuelMiner,"['Design', 'Fuels', 'Transportation']",-,USA,MN,,1,2012-05-24,2012-05-24,acquired
FuGen Solutions,['Curated Web'],924752,USA,CA,2006-01-01,1,2012-01-18,2012-01-18,acquired
Fulcrum Microsystems,['Semiconductors'],81017493,USA,CA,2000-01-01,4,2005-05-09,2010-03-15,acquired
Full Speed Inc.,,-,,,,1,2006-07-01,2006-07-01,ipo
Full Stack Media,"['Lifestyle', 'Media', 'News', 'Social Media']",50000,,,,1,2015-03-01,2015-03-01,closed
Fullscreen,"['Digital Media', 'News']",30000000,USA,CA,2011-01-24,2,2011-11-02,2013-06-17,acquired
Fulltech Fiber Glass,"['Building Products', 'Manufacturing', 'Service Providers']",30000000,TWN,3,,1,2008-08-18,2008-08-18,closed
Fundability,['E-Commerce'],3000000,USA,NV,2007-01-01,1,2008-01-01,2008-01-01,closed
Fundamo (Proprietary),['Finance'],5150000,ZAF,,2000-01-01,1,2007-07-10,2007-07-10,acquired
Funding Gates,"['Accounting', 'Collectibles', 'Credit', 'Payments', 'SaaS', 'Small and Medium Businesses', 'Software']",1163601,USA,NY,2009-01-01,2,2011-07-08,2013-10-01,closed
Fundly,"['Colleges', 'Crowdfunding', 'Education', 'Health and Wellness', 'Nonprofits', 'Payments', 'Politics', 'Social Fundraising', 'Social Media', 'Software']",7800000,USA,CA,2009-03-01,4,2010-07-01,2011-09-28,acquired
FundsXpress Financial Network,['Financial Services'],5000000,USA,TX,1996-01-01,1,2002-10-11,2002-10-11,closed
Funium,['Games'],3050000,USA,UT,2010-01-01,3,2011-02-28,2012-08-07,closed
Funizen,"['Online Gaming', 'Publishing', 'Services']",1800000,,,,2,2014-11-13,2015-04-25,closed
Funky Panda Games,"['Apps', 'Developer APIs', 'Development Platforms', 'Games']",1000000,,,2015-01-01,1,2015-01-01,2015-01-01,closed
Funzio,['Games'],20000000,USA,CA,,1,2011-05-05,2011-05-05,acquired
Furiex Pharmaceuticals,['Biotechnology'],15000000,USA,NC,1998-01-01,1,2013-10-01,2013-10-01,acquired
Furious Corp,"['Publishing', 'Television', 'Video']",1126000,ISR,4,2014-02-01,1,2015-05-20,2015-05-20,closed
Fusepoint Managed Services,['Software'],19000000,CAN,BC,,2,2004-04-28,2006-01-18,acquired
Fusion Garage,['Hardware + Software'],6500000,,,2008-01-01,1,2010-11-12,2010-11-12,closed
